0.000000	0.000000
0.029572	0.032315
0.061212	0.045330
0.093276	0.054649
0.125580	0.061777
0.158042	0.067316
0.190611	0.071584
0.223256	0.074780
0.255951	0.077042
0.288678	0.078470
0.321421	0.079144
0.354168	0.079124
0.386908	0.078464
0.419478	0.077232
0.451932	0.075575
0.484374	0.073536
0.516799	0.071141
0.549205	0.068412
0.581592	0.065370
0.613957	0.062029
0.646298	0.058404
0.678615	0.054506
0.710905	0.050342
0.743167	0.045919
0.775400	0.041241
0.807603	0.036310
0.839773	0.031125
0.871910	0.025684
0.904012	0.019984
0.936076	0.014018
0.968101	0.007779
1.000084	0.001257

0.000000	0.000000
0.034944	-0.026123
0.067821	-0.033467
0.100272	-0.037635
0.132484	-0.040133
0.164539	-0.041562
0.196486	-0.042239
0.228357	-0.042366
0.260178	-0.042078
0.291967	-0.041478
0.323740	-0.040642
0.355509	-0.039634
0.387285	-0.038505
0.419232	-0.037274
0.451293	-0.035871
0.483368	-0.034318
0.515459	-0.032639
0.547569	-0.030859
0.579698	-0.028995
0.611849	-0.027066
0.644024	-0.025083
0.676224	-0.023057
0.708450	-0.020998
0.740704	-0.018910
0.772987	-0.016799
0.805301	-0.014666
0.837646	-0.012510
0.870025	-0.010330
0.902440	-0.008121
0.934892	-0.005879
0.967383	-0.003594
0.999916	-0.001257
